  1000  1.0000E+00
   i   x             den           ener          pres          vel           cs
   185  2.214000E-01  8.214392E-04  8.899364E+01  4.873524E-02  5.313634E-02  9.943934E+00
   186  2.226000E-01  8.416658E-04  8.685505E+01  4.873528E-02  5.342435E-02  9.823727E+00
   187  2.238000E-01  8.622777E-04  8.477894E+01  4.873532E-02  5.371237E-02  9.705607E+00
   188  2.250000E-01  8.832801E-04  8.276316E+01  4.873537E-02  5.400038E-02  9.589528E+00
   189  2.262000E-01  9.046783E-04  8.080565E+01  4.873541E-02  5.428840E-02  9.475444E+00
   190  2.274000E-01  9.264776E-04  7.890443E+01  4.873546E-02  5.457641E-02  9.363311E+00
   191  2.286000E-01  9.486832E-04  7.705760E+01  4.873550E-02  5.486443E-02  9.253083E+00
   192  2.298000E-01  9.713007E-04  7.526334E+01  4.873555E-02  5.515245E-02  9.144721E+00
   193  2.310000E-01  9.943354E-04  7.351987E+01  4.873560E-02  5.544046E-02  9.038182E+00
   194  2.322000E-01  1.017793E-03  7.182551E+01  4.873565E-02  5.572848E-02  8.933427E+00
   195  2.334000E-01  1.041678E-03  7.017863E+01  4.873570E-02  5.601650E-02  8.830416E+00
   196  2.346000E-01  1.065998E-03  6.857767E+01  4.873576E-02  5.630452E-02  8.729113E+00
   197  2.358000E-01  1.090756E-03  6.702113E+01  4.873581E-02  5.659254E-02  8.629479E+00
   198  2.370000E-01  1.115960E-03  6.550755E+01  4.873587E-02  5.688056E-02  8.531480E+00
   199  2.382000E-01  1.141615E-03  6.403554E+01  4.873593E-02  5.716858E-02  8.435081E+00
   200  2.394000E-01  1.167725E-03  6.260375E+01  4.873599E-02  5.745661E-02  8.340247E+00
   201  2.406000E-01  1.194298E-03  6.121090E+01  4.873605E-02  5.774463E-02  8.246945E+00
   202  2.418000E-01  1.221339E-03  5.985574E+01  4.873612E-02  5.803265E-02  8.155144E+00
   203  2.430000E-01  1.248854E-03  5.853707E+01  4.873618E-02  5.832068E-02  8.064811E+00
   204  2.442000E-01  1.276849E-03  5.725373E+01  4.873625E-02  5.860870E-02  7.975917E+00
   205  2.454000E-01  1.305330E-03  5.600462E+01  4.873632E-02  5.889673E-02  7.888431E+00
   206  2.466000E-01  1.334302E-03  5.478865E+01  4.873639E-02  5.918476E-02  7.802325E+00
   207  2.478000E-01  1.363772E-03  5.360480E+01  4.873646E-02  5.947279E-02  7.717569E+00
   208  2.490000E-01  1.393745E-03  5.245206E+01  4.873654E-02  5.976082E-02  7.634138E+00
   209  2.502000E-01  1.424229E-03  5.132947E+01  4.873661E-02  6.004885E-02  7.552002E+00
   210  2.514000E-01  1.455229E-03  5.023611E+01  4.873669E-02  6.033688E-02  7.471138E+00
   211  2.526000E-01  1.486751E-03  4.917108E+01  4.873677E-02  6.062491E-02  7.391517E+00
   212  2.538000E-01  1.518802E-03  4.813352E+01  4.873686E-02  6.091294E-02  7.313117E+00
   213  2.550000E-01  1.551388E-03  4.712259E+01  4.873694E-02  6.120097E-02  7.235913E+00
   214  2.562000E-01  1.584515E-03  4.613750E+01  4.873703E-02  6.148901E-02  7.159880E+00
   215  2.574000E-01  1.618190E-03  4.517745E+01  4.873712E-02  6.177705E-02  7.084996E+00
   216  2.586000E-01  1.652418E-03  4.424171E+01  4.873721E-02  6.206508E-02  7.011238E+00
   217  2.598000E-01  1.687208E-03  4.332955E+01  4.873731E-02  6.235312E-02  6.938584E+00
   218  2.610000E-01  1.722565E-03  4.244027E+01  4.873740E-02  6.264116E-02  6.867012E+00
